,User-ID,ISBN,Book-Rating
0,276747,0060517794,9
1,278843,0060517794,7
2,4017,0060517794,10
3,8961,0060517794,8
4,21788,0060517794,9
5,26883,0060517794,7
6,34987,0060517794,8
7,37227,0060517794,10
8,52584,0060517794,8
9,86548,0060517794,10
10,88123,0060517794,9
11,96357,0060517794,5
12,110382,0060517794,8
13,135149,0060517794,7
14,147528,0060517794,9
15,158583,0060517794,6
16,163467,0060517794,7
17,164323,0060517794,6
18,164956,0060517794,5
19,201697,0060517794,9
20,202277,0060517794,8
21,208287,0060517794,8
22,224220,0060517794,7
23,231838,0060517794,8
24,237776,0060517794,10
25,246634,0060517794,8
26,249228,0060517794,10
27,249746,0060517794,7
28,252798,0060517794,9
29,271016,0060517794,8
30,276755,0451166892,5
31,99,0451166892,3
32,5268,0451166892,10
33,9652,0451166892,9
34,11629,0451166892,8
35,16634,0451166892,10
36,16782,0451166892,10
37,21404,0451166892,8
38,22625,0451166892,9
39,28204,0451166892,10
40,33179,0451166892,10
41,34222,0451166892,9
42,38281,0451166892,8
43,48025,0451166892,9
44,55075,0451166892,10
45,59712,0451166892,10
46,66591,0451166892,10
47,67515,0451166892,5
48,68156,0451166892,10
49,74208,0451166892,9
50,78783,0451166892,10
51,79942,0451166892,10
52,81394,0451166892,8
53,82102,0451166892,10
54,86145,0451166892,7
55,87141,0451166892,8
56,93179,0451166892,9
57,94985,0451166892,8
58,95921,0451166892,8
59,96634,0451166892,8
60,103377,0451166892,8
61,106225,0451166892,10
62,114089,0451166892,8
63,114216,0451166892,10
64,114988,0451166892,7
65,120082,0451166892,6
66,120350,0451166892,10
67,125878,0451166892,10
68,126296,0451166892,9
69,132303,0451166892,9
70,133935,0451166892,6
71,135776,0451166892,7
72,138139,0451166892,7
73,140294,0451166892,7
74,141210,0451166892,8
75,142121,0451166892,10
76,149908,0451166892,8
77,155117,0451166892,7
78,156150,0451166892,10
79,163851,0451166892,9
80,164675,0451166892,8
81,170154,0451166892,9
82,172096,0451166892,7
83,172512,0451166892,9
84,172539,0451166892,9
85,172742,0451166892,8
86,178254,0451166892,9
87,188685,0451166892,7
88,189279,0451166892,10
89,190831,0451166892,10
90,191728,0451166892,5
91,192479,0451166892,7
92,193920,0451166892,9
93,194016,0451166892,5
94,196585,0451166892,10
95,198011,0451166892,8
96,199515,0451166892,9
97,199649,0451166892,6
98,204790,0451166892,8
99,205571,0451166892,7
100,206417,0451166892,10
101,207339,0451166892,8
102,207727,0451166892,5
103,209229,0451166892,5
104,214252,0451166892,9
105,216010,0451166892,9
106,217740,0451166892,8
107,223156,0451166892,10
108,228579,0451166892,7
109,231857,0451166892,9
110,234530,0451166892,10
111,243117,0451166892,9
112,243951,0451166892,9
113,245559,0451166892,8
114,246507,0451166892,10
115,251844,0451166892,10
116,265751,0451166892,10
117,276762,0380711524,5
118,12619,0380711524,5
119,28204,0380711524,9
120,83287,0380711524,10
121,118099,0380711524,6
122,132375,0380711524,10
123,143294,0380711524,8
124,158295,0380711524,7
125,162639,0380711524,9
126,172370,0380711524,9
127,173481,0380711524,7
128,187256,0380711524,8
129,190305,0380711524,8
130,205538,0380711524,5
131,223566,0380711524,8
132,241666,0380711524,8
133,276822,0060096195,10
134,278554,0060096195,9
135,7125,0060096195,8
136,7346,0060096195,8
137,8067,0060096195,10
138,13552,0060096195,7
139,15819,0060096195,10
140,25409,0060096195,9
141,28204,0060096195,8
142,35320,0060096195,8
143,38004,0060096195,7
144,50504,0060096195,8
145,51350,0060096195,10
146,67248,0060096195,8
147,71490,0060096195,8
148,71777,0060096195,9
149,74833,0060096195,8
150,87938,0060096195,5
151,88828,0060096195,10
152,91052,0060096195,7
153,93426,0060096195,7
154,95173,0060096195,6
155,95359,0060096195,8
156,106374,0060096195,9
157,125692,0060096195,7
158,127089,0060096195,5
159,127359,0060096195,8
160,129945,0060096195,7
161,133778,0060096195,6
162,138198,0060096195,9
163,142020,0060096195,7
164,142861,0060096195,9
